Version: 1	Number of symbols: 3	Pictures exchange: true	Response Deadline: 2000
Trial_No	Virt_Trial_No	Prob_Shown	Feedback	RT	Stimulus_No	Resp	SymbolA_Stage	SymbolB_Stage	SymbolC_Stage	Prob_A	Prob_B	Prob_C	Jitter	StimOnset	RespOnset	Symbol_Changes	Bonus_sum
NaN	   1	  30	NaN	NaN	   1	   3	   0	   0	   0	  30	  70	  50	 374	 122	NaN	   0	   0	
   1	   2	  50	   2	 427	   3	   1	   0	   0	   1	  30	  70	  50	 380	3173	3600	   0	 -10	
   2	   3	  30	   2	 497	   1	   1	   1	   0	   1	  30	  70	  50	 350	5239	5736	   0	 -20	
   3	   4	  50	   1	 510	   3	   1	   1	   0	   2	  30	  70	  50	 448	7466	7976	   0	 -10	
   4	   5	  70	   3	 774	   2	   2	   1	   1	   2	  30	  70	  50	 321	9586	10360	   0	 -10	
   5	   6	  30	   2	 772	   1	   1	   2	   1	   2	  30	  70	  50	 532	12172	12944	   0	 -20	
   6	   7	  50	   2	 604	   3	   1	   2	   1	   3	  30	  70	  50	 434	14652	15256	   0	 -30	
   7	   8	  70	   1	 417	   2	   1	   2	   2	   3	  30	  70	  50	 625	17159	17576	   0	 -20	
   8	   9	  50	   4	 542	   3	   2	   2	   2	   4	  30	  70	  50	 487	19346	19888	   0	 -20	
   9	  10	  30	   4	 388	   1	   2	   3	   2	   4	  30	  70	  50	 559	21732	22120	   0	 -20	
  10	  11	  50	   1	 684	   3	   1	   3	   2	   5	  30	  70	  50	 532	23932	24616	   0	 -10	
  11	  12	  70	   1	 627	   2	   1	   3	   3	   5	  30	  70	  50	 381	26292	26919	   0	   0	
  12	  13	  50	   2	 931	   3	   1	   3	   3	   6	  30	  70	  50	 451	28652	29583	   0	 -10	
  13	  14	  70	   2	 323	   2	   1	   3	   4	   6	  30	  70	  50	 593	31452	31775	   0	 -20	
  14	  15	  50	   3	1059	   3	   2	   3	   4	   7	  30	  70	  50	 428	33492	34551	   0	 -20	
  15	  16	  30	   3	 817	   1	   2	   4	   4	   7	  30	  70	  50	 402	36238	37055	   0	 -20	
  16	  17	  70	   2	 545	   2	   1	   4	   5	   7	  30	  70	  50	 576	38918	39463	   0	 -30	
  17	  18	  50	   1	 435	   3	   1	   4	   5	   8	  30	  70	  50	 670	41412	41847	   0	 -20	
  18	  19	  70	   3	 697	   2	   2	   4	   6	   8	  30	  70	  50	 394	43518	44215	   0	 -20	
  19	  20	  30	   1	 385	   1	   1	   5	   6	   8	  30	  70	  50	 463	45958	46343	   0	 -10	
