Version: 1	Number of symbols: 3	Pictures exchange: true	Response Deadline: 2000
Trial_No	Virt_Trial_No	Prob_Shown	Feedback	RT	Stimulus_No	Resp	SymbolA_Stage	SymbolB_Stage	SymbolC_Stage	Prob_A	Prob_B	Prob_C	Jitter	StimOnset	RespOnset	Symbol_Changes	Bonus_sum
   1	   1	  30	   2	 568	   1	   1	   1	   0	   0	  30	  70	  50	 633	2183	2751	   0	 -10	
   2	   2	  50	   4	 748	   3	   2	   1	   0	   1	  30	  70	  50	 399	4467	5215	   0	 -10	
   3	   3	  30	   4	 541	   1	   2	   2	   0	   1	  30	  70	  50	 697	7218	7759	   0	 -10	
   4	   4	  50	   1	 428	   3	   1	   2	   0	   2	  30	  70	  50	 564	9619	10047	   0	   0	
   5	   5	  70	   1	 709	   2	   1	   2	   1	   2	  30	  70	  50	 441	11786	12495	   0	  10	
   6	   6	  30	   4	 529	   1	   2	   3	   1	   2	  30	  70	  50	 471	14270	14799	   0	  10	
   7	   7	  50	   2	 489	   3	   1	   3	   1	   3	  30	  70	  50	 362	16454	16943	   0	   0	
   8	   8	  70	   1	 673	   2	   1	   3	   2	   3	  30	  70	  50	 392	18638	19311	   0	  10	
   9	   9	  50	   2	 629	   3	   1	   3	   2	   4	  30	  70	  50	 700	21322	21951	   0	   0	
  10	  10	  30	   3	 594	   1	   2	   4	   2	   4	  30	  70	  50	 517	23773	24367	   0	   0	
  11	  11	  50	   1	 359	   3	   1	   4	   2	   5	  30	  70	  50	 585	26440	26799	   0	  10	
  12	  12	  70	   3	 610	   2	   2	   4	   3	   5	  30	  70	  50	 449	28557	29167	   0	  10	
  13	  13	  50	   2	 568	   3	   1	   4	   3	   6	  30	  70	  50	 308	30775	31343	   0	   0	
  14	  14	  70	   2	 690	   2	   1	   4	   4	   6	  30	  70	  50	 648	33309	33999	   0	 -10	
  15	  15	  50	   1	 441	   3	   1	   4	   4	   7	  30	  70	  50	 593	35893	36334	   0	   0	
  16	  16	  30	   3	 532	   1	   2	   5	   4	   7	  30	  70	  50	 367	38010	38542	   0	   0	
  17	  17	  70	   2	 604	   2	   1	   5	   5	   7	  30	  70	  50	 332	40194	40798	   0	 -10	
  18	  18	  50	   1	 583	   3	   1	   5	   5	   8	  30	  70	  50	 614	42711	43294	   0	   0	
