Version: 1	Number of symbols: 3	Pictures exchange: true	Response Deadline: 2000
Trial_No	Virt_Trial_No	Prob_Shown	Feedback	RT	Stimulus_No	Resp	SymbolA_Stage	SymbolB_Stage	SymbolC_Stage	Prob_A	Prob_B	Prob_C	Jitter	StimOnset	RespOnset	Symbol_Changes	Bonus_sum
NaN	   1	  30	NaN	NaN	   1	   3	   0	   0	   0	  30	  70	  50	 568	   0	NaN	   0	   0	
NaN	   2	  50	NaN	NaN	   3	   3	   0	   0	   0	  30	  70	  50	 347	   0	NaN	   0	   0	
   1	   3	  30	   2	 590	   1	   1	   1	   0	   0	  30	  70	  50	 475	9152	9742	   0	 -10	
   2	   4	  50	   4	 917	   3	   2	   1	   0	   1	  30	  70	  50	 322	11369	12286	   0	 -10	
   3	   5	  70	   1	1031	   2	   1	   1	   1	   1	  30	  70	  50	 493	14087	15118	   0	   0	
   4	   6	  30	   4	1350	   1	   2	   2	   1	   1	  30	  70	  50	 457	16888	18238	   0	   0	
   5	   7	  50	   1	1299	   3	   1	   2	   1	   2	  30	  70	  50	 587	20139	21438	   0	  10	
   6	   8	  70	   1	 969	   2	   1	   2	   2	   2	  30	  70	  50	 419	23173	24142	   0	  20	
   7	   9	  50	   4	1774	   3	   2	   2	   2	   3	  30	  70	  50	 371	25824	27598	   0	  20	
   8	  10	  30	   2	 598	   1	   1	   3	   2	   3	  30	  70	  50	 700	29608	30206	   0	  10	
   9	  11	  50	   4	1922	   3	   2	   3	   2	   4	  30	  70	  50	 575	32092	34014	   0	  10	
  10	  12	  70	   1	 912	   2	   1	   3	   3	   4	  30	  70	  50	 387	35710	36622	   0	  20	
  11	  13	  50	   1	1220	   3	   1	   3	   3	   5	  30	  70	  50	 452	38394	39614	   0	  30	
  12	  14	  70	   2	 782	   2	   1	   3	   4	   5	  30	  70	  50	 384	41312	42094	   0	  20	
  13	  15	  50	   2	1118	   3	   1	   3	   4	   6	  30	  70	  50	 308	43712	44830	   0	  10	
  14	  16	  30	   1	1225	   1	   1	   4	   4	   6	  30	  70	  50	 451	46597	47822	   0	  20	
  15	  17	  70	   2	1356	   2	   1	   4	   5	   6	  30	  70	  50	 583	49714	51070	   0	  10	
  16	  18	  50	   1	1895	   3	   1	   4	   5	   7	  30	  70	  50	 640	53015	54910	   0	  20	
  17	  19	  70	   1	 808	   2	   1	   4	   6	   7	  30	  70	  50	 361	56566	57374	   0	  30	
  18	  20	  30	   1	 450	   1	   1	   5	   6	   7	  30	  70	  50	 416	59100	59550	   0	  40	
  19	  21	  50	   3	1152	   3	   2	   5	   6	   8	  30	  70	  50	 677	61534	62686	   0	  40	
  20	  22	  30	   2	1405	   1	   1	   6	   6	   8	  30	  70	  50	 372	64369	65774	   0	  30	
