Version: 1	Number of symbols: 3	Pictures exchange: true	Response Deadline: 2000
Trial_No	Virt_Trial_No	Prob_Shown	Feedback	RT	Stimulus_No	Resp	SymbolA_Stage	SymbolB_Stage	SymbolC_Stage	Prob_A	Prob_B	Prob_C	Jitter	StimOnset	RespOnset	Symbol_Changes	Bonus_sum
NaN	   1	  30	NaN	NaN	   1	   3	   0	   0	   0	  30	  70	  50	 406	 122	NaN	   0	   0	
   1	   2	  50	   2	 693	   3	   1	   0	   0	   1	  30	  70	  50	 403	3213	3906	   0	 -10	
   2	   3	  30	   2	 531	   1	   1	   1	   0	   1	  30	  70	  50	 605	5799	6330	   0	 -20	
   3	   4	  50	   1	 610	   3	   1	   1	   0	   2	  30	  70	  50	 430	8039	8649	   0	 -10	
   4	   5	  70	   3	1133	   2	   2	   1	   1	   2	  30	  70	  50	 607	10532	11665	   0	 -10	
   5	   6	  30	   4	1010	   1	   2	   2	   1	   2	  30	  70	  50	 481	13439	14449	   0	 -10	
   6	   7	  50	   2	 856	   3	   1	   2	   1	   3	  30	  70	  50	 379	16105	16961	   0	 -20	
   7	   8	  70	   3	1280	   2	   2	   2	   2	   3	  30	  70	  50	 655	18905	20185	   0	 -20	
   8	   9	  50	   4	1136	   3	   2	   2	   2	   4	  30	  70	  50	 555	22025	23161	   0	 -20	
   9	  10	  30	   2	 411	   1	   1	   3	   2	   4	  30	  70	  50	 668	25118	25529	   0	 -30	
  10	  11	  50	   1	 803	   3	   1	   3	   2	   5	  30	  70	  50	 469	27278	28081	   0	 -20	
  11	  12	  70	   3	1400	   2	   2	   3	   3	   5	  30	  70	  50	 563	29945	31345	   0	 -20	
  12	  13	  50	   2	1344	   3	   1	   3	   3	   6	  30	  70	  50	 426	33065	34409	   0	 -30	
  13	  14	  70	   4	1259	   2	   2	   3	   4	   6	  30	  70	  50	 349	36038	37297	   0	 -30	
  14	  15	  50	   3	 905	   3	   2	   3	   4	   7	  30	  70	  50	 531	39104	40009	   0	 -30	
  15	  16	  30	   1	 931	   1	   1	   4	   4	   7	  30	  70	  50	 475	41758	42689	   0	 -20	
  16	  17	  70	   4	1230	   2	   2	   4	   5	   7	  30	  70	  50	 641	44611	45841	   0	 -20	
  17	  18	  50	   1	 729	   3	   1	   4	   5	   8	  30	  70	  50	 339	47464	48193	   0	 -10	
  18	  19	  70	   1	 421	   2	   1	   4	   6	   8	  30	  70	  50	 618	50091	50512	   0	   0	
  19	  20	  30	   3	 224	   1	   2	   5	   6	   8	  30	  70	  50	 678	52464	52688	   0	   0	
  20	  21	  50	   2	 547	   3	   1	   5	   6	   9	  30	  70	  50	 466	54437	54984	   0	 -10	
  21	  22	  30	   2	 323	   1	   1	   6	   6	   9	  30	  70	  50	 430	56717	57040	   0	 -20	
  22	  23	  50	   1	 382	   3	   1	   6	   6	  10	  30	  70	  50	 683	59010	59392	   0	 -10	
  23	  24	  30	   4	 896	   1	   2	   7	   6	  10	  30	  70	  50	 551	61224	62120	   0	 -10	
  24	  25	  70	   3	 643	   2	   2	   7	   7	  10	  30	  70	  50	 358	63757	64400	   0	 -10	
  25	  26	  50	   1	 510	   3	   1	   7	   7	  11	  30	  70	  50	 565	66250	66760	   0	   0	
  26	  27	  30	   4	 678	   1	   2	   8	   7	  11	  30	  70	  50	 691	68730	69408	   0	   0	
  27	  28	  50	   2	 646	   3	   1	   8	   7	  12	  30	  70	  50	 648	71330	71976	   0	 -10	
  28	  29	  70	   3	 916	   2	   2	   8	   8	  12	  30	  70	  50	 413	73676	74592	   0	 -10	
  29	  30	  50	   1	 748	   3	   1	   8	   8	  13	  30	  70	  50	 407	76276	77024	   0	   0	
  30	  31	  70	   3	 929	   2	   2	   8	   9	  13	  30	  70	  50	 515	78823	79752	   0	   0	
  31	  32	  50	   1	 713	   3	   1	   8	   9	  14	  30	  70	  50	 540	81583	82296	   0	  10	
  32	  33	  30	   2	 713	   1	   1	   9	   9	  14	  30	  70	  50	 530	84103	84816	   0	   0	
  33	  34	  70	   4	 889	   2	   2	   9	  10	  14	  30	  70	  50	 643	86742	87631	   0	   0	
  34	  35	  30	   3	 937	   1	   2	  10	  10	  14	  30	  70	  50	 346	89262	90199	   0	   0	
  35	  36	  70	   3	 955	   2	   2	  10	  11	  14	  30	  70	  50	 634	92116	93071	   0	   0	
  36	  37	  50	   2	 521	   3	   1	  10	  11	  15	  30	  70	  50	 666	95022	95543	   0	 -10	
  37	  38	  30	   4	1094	   1	   2	  11	  11	  15	  30	  70	  50	 539	97369	98463	   0	 -10	
  38	  39	  70	   4	1284	   2	   2	  11	  12	  15	  30	  70	  50	 411	100155	101439	   0	 -10	
  39	  40	  30	   1	 337	   1	   1	  12	  12	  15	  30	  70	  50	 581	103302	103639	   0	   0	
  40	  41	  50	   1	 265	   3	   1	  12	  12	  16	  30	  70	  50	 339	105262	105527	   0	  10	
  41	  42	  70	   3	 425	   2	   2	  12	  13	  16	  30	  70	  50	 365	107182	107607	   0	  10	
  42	  43	  30	   2	 713	   1	   1	  13	  13	  16	  30	  70	  50	 345	109222	109935	   0	   0	
  43	  44	  70	   3	 628	   2	   2	  13	  14	  16	  30	  70	  50	 342	111555	112183	   0	   0	
  44	  45	  50	   2	1092	   3	   1	  13	  14	  17	  30	  70	  50	 409	113875	114967	   0	 -10	
  45	  46	  30	   2	 372	   1	   1	  14	  14	  17	  30	  70	  50	 630	116875	117247	   0	 -20	
  46	  47	  70	   3	 525	   2	   2	  14	  15	  17	  30	  70	  50	 349	118874	119399	   0	 -20	
  47	  48	  30	   4	1101	   1	   2	  15	  15	  17	  30	  70	  50	 547	121234	122335	   0	 -20	
  48	  49	  70	   4	1623	   2	   2	  15	  16	  17	  30	  70	  50	 598	124208	125831	   0	 -20	
  49	  50	  30	   1	 585	   1	   1	  16	  16	  17	  30	  70	  50	 557	127661	128246	   0	 -10	
  50	  51	  70	   3	 692	   2	   2	  16	  17	  17	  30	  70	  50	 503	130034	130726	   0	 -10	
  51	  52	  30	   4	 484	   1	   2	  17	  17	  17	  30	  70	  50	 570	132594	133078	   0	 -10	
  52	  53	  70	   3	 796	   2	   2	  17	  18	  17	  30	  70	  50	 586	134954	135750	   0	 -10	
  53	  54	  30	   2	 722	   1	   1	  18	  18	  17	  30	  70	  50	 388	137420	138142	   0	 -20	
  54	  55	  70	   4	 599	   2	   2	  18	  19	  17	  30	  70	  50	 620	140047	140646	   0	 -20	
  55	  56	  50	   2	 429	   3	   1	  18	  19	  18	  30	  70	  50	 457	142393	142822	   0	 -30	
  56	  57	  30	   3	 661	   1	   2	  19	  19	  18	  30	  70	  50	 528	144633	145294	   0	 -30	
  57	  58	  70	   3	 423	   2	   2	  19	  20	  18	  30	  70	  50	 386	146967	147390	   0	 -30	
  58	  59	  50	   1	 730	   3	   1	  19	  20	  19	  30	  70	  50	 471	149140	149870	   0	 -20	
  59	  60	  30	   2	 437	   1	   1	  20	  20	  19	  30	  70	  50	 488	151633	152070	   0	 -30	
  60	  61	  50	   2	 685	   3	   1	  20	  20	  20	  30	  70	  50	 685	154033	154718	   0	 -40	
  61	  62	  70	   3	 472	   2	   2	  20	  21	  20	  30	  70	  50	 518	156526	156998	   0	 -40	
  62	  63	  50	   4	 403	   3	   2	  20	  21	  21	  30	  70	  50	 585	158859	159262	   0	 -40	
  63	  64	  70	   4	 392	   2	   2	  20	  22	  21	  30	  70	  50	 698	161246	161638	   0	 -40	
  64	  65	  50	   1	 624	   3	   1	  20	  22	  22	  30	  70	  50	 439	163366	163990	   0	 -30	
  65	  66	  30	   4	 608	   1	   2	  21	  22	  22	  30	  70	  50	 499	165766	166374	   0	 -30	
  66	  67	  70	   1	 482	   2	   1	  21	  23	  22	  30	  70	  50	 447	168099	168581	   0	 -20	
  67	  68	  30	   1	 671	   1	   1	  22	  23	  22	  30	  70	  50	 584	170446	171117	   0	 -10	
  68	  69	  50	   2	 674	   3	   1	  22	  23	  23	  30	  70	  50	 699	173099	173773	   0	 -20	
  69	  70	  70	   3	 472	   2	   2	  22	  24	  23	  30	  70	  50	 313	175365	175837	   0	 -20	
  70	  71	  50	   2	 608	   3	   1	  22	  24	  24	  30	  70	  50	 683	177805	178413	   0	 -30	
  71	  72	  70	   3	 354	   2	   2	  22	  25	  24	  30	  70	  50	 350	180059	180413	   0	 -30	
  72	  73	  50	   1	 504	   3	   1	  22	  25	  25	  30	  70	  50	 631	182325	182829	   0	 -20	
  73	  74	  70	   2	 176	   2	   1	  22	  26	  25	  30	  70	  50	 584	184685	184861	   0	 -30	
  74	  75	  50	   2	 563	   3	   1	  22	  26	  26	  30	  70	  50	 631	186778	187341	   0	 -40	
  75	  76	  70	   3	 541	   2	   2	  22	  27	  26	  30	  70	  50	 482	189112	189653	   0	 -40	
  76	  77	  50	   1	 531	   3	   1	  22	  27	  27	  30	  70	  50	 322	191258	191789	   0	 -30	
  77	  78	  70	   3	 611	   2	   2	  22	  28	  27	  30	  70	  50	 356	193418	194029	   0	 -30	
  78	  79	  50	   1	 539	   3	   1	  22	  28	  28	  30	  70	  50	 478	195778	196317	   0	 -20	
  79	  80	  30	   2	 550	   1	   1	  23	  28	  28	  30	  70	  50	 592	198191	198741	   0	 -30	
  80	  81	  70	   4	 614	   2	   2	  23	  29	  28	  30	  70	  50	 572	200591	201205	   0	 -30	
  81	  82	  30	   4	 902	   1	   2	  24	  29	  28	  30	  70	  50	 681	203191	204093	   0	 -30	
  82	  83	  50	   2	 524	   3	   1	  24	  29	  29	  30	  70	  50	 570	205937	206461	   0	 -40	
  83	  84	  30	   4	 685	   1	   2	  25	  29	  29	  30	  70	  50	 522	208271	208956	   0	 -40	
  84	  85	  70	   3	 493	   2	   2	  25	  30	  29	  30	  70	  50	 672	210911	211404	   0	 -40	
  85	  86	  50	   1	 504	   3	   1	  25	  30	  30	  30	  70	  50	 626	213324	213828	   0	 -30	
  86	  87	  70	   1	 478	   2	   1	  25	  31	  30	  30	  70	  50	 603	215710	216188	   0	 -20	
  87	  88	  30	   4	1315	   3	   2	  25	  31	   1	  30	  70	  30	 637	218137	219452	   3	 -20	
  88	  89	  30	   3	1331	   1	   2	  26	  31	   1	  30	  70	  30	 449	221177	222508	   0	 -20	
  89	  90	  70	   4	 574	   2	   2	  26	  32	   1	  30	  70	  30	 559	224350	224924	   0	 -20	
  90	  91	  30	   1	 787	   3	   1	  26	  32	   2	  30	  70	  30	 323	226537	227324	   0	 -10	
  91	  92	  70	   3	 665	   2	   2	  26	  33	   2	  30	  70	  30	 423	229043	229708	   0	 -10	
  92	  93	  30	   2	1404	   1	   1	  27	  33	   2	  30	  70	  30	 477	231456	232860	   0	 -20	
  93	  94	  30	   2	 636	   3	   1	  27	  33	   3	  30	  70	  30	 396	234536	235172	   0	 -30	
  94	  95	  30	   4	 860	   1	   2	  28	  33	   3	  30	  70	  30	 367	236816	237676	   0	 -30	
  95	  96	  20	   4	 983	   2	   2	  28	   1	   3	  30	  20	  30	 649	239629	240612	   2	 -30	
  96	  97	  30	   3	 633	   1	   2	  29	   1	   3	  30	  20	  30	 554	242443	243076	   0	 -30	
  97	  98	  30	   2	 479	   3	   1	  29	   1	   4	  30	  20	  30	 428	244789	245268	   0	 -40	
  98	  99	  30	   2	 499	   1	   1	  30	   1	   4	  30	  20	  30	 586	247136	247635	   0	 -50	
  99	 100	  30	   2	 617	   3	   1	  30	   1	   5	  30	  20	  30	 692	249602	250219	   0	 -60	
 100	 101	  20	   2	 795	   2	   1	  30	   2	   5	  30	  20	  30	 555	252056	252851	   0	 -70	
 101	 102	  30	   4	 756	   1	   2	  31	   2	   5	  30	  20	  30	 351	254495	255251	   0	 -70	
 102	 103	  20	   1	 918	   2	   1	  31	   3	   5	  30	  20	  30	 615	257149	258067	   0	 -60	
 103	 104	  30	   3	 812	   3	   2	  31	   3	   6	  30	  20	  30	 588	259935	260747	   0	 -60	
 104	 105	  20	   4	 839	   2	   2	  31	   4	   6	  30	  20	  30	 367	262388	263227	   0	 -60	
 105	 106	  30	   4	 919	   3	   2	  31	   4	   7	  30	  20	  30	 486	264988	265907	   0	 -60	
 106	 107	  20	   2	 623	   2	   1	  31	   5	   7	  30	  20	  30	 491	267668	268291	   0	 -70	
 107	 108	  30	   2	 650	   3	   1	  31	   5	   8	  30	  20	  30	 514	270081	270731	   0	 -80	
 108	 109	  20	   1	 815	   2	   1	  31	   6	   8	  30	  20	  30	 501	272508	273323	   0	 -70	
 109	 110	  30	   1	 847	   1	   1	  32	   6	   8	  30	  20	  30	 660	275268	276115	   0	 -60	
 110	 111	  30	   4	 487	   3	   2	  32	   6	   9	  30	  20	  30	 549	277948	278435	   0	 -60	
 111	 112	  20	   2	 597	   2	   1	  32	   7	   9	  30	  20	  30	 688	280414	281011	   0	 -70	
 112	 113	  30	   3	 765	   3	   2	  32	   7	  10	  30	  20	  30	 361	282654	283419	   0	 -70	
 113	 114	  30	   4	 874	   1	   2	  33	   7	  10	  30	  20	  30	 535	285241	286115	   0	 -70	
 114	 115	  30	   3	 972	   3	   2	  33	   7	  11	  30	  20	  30	 621	288014	288986	   0	 -70	
 115	 116	  30	   4	 689	   1	   2	  34	   7	  11	  30	  20	  30	 369	290641	291330	   0	 -70	
 116	 117	  30	   4	 575	   3	   2	  34	   7	  12	  30	  20	  30	 617	293227	293802	   0	 -70	
 117	 118	  30	   2	 530	   1	   1	  35	   7	  12	  30	  20	  30	 318	295400	295930	   0	 -80	
 118	 119	  30	   4	 655	   3	   2	  35	   7	  13	  30	  20	  30	 576	297787	298442	   0	 -80	
 119	 120	  20	   4	 730	   2	   2	  35	   8	  13	  30	  20	  30	 514	300240	300970	   0	 -80	
 120	 121	  80	   1	1210	   1	   1	   1	   8	  13	  80	  20	  30	 645	302920	304130	   1	 -70	
 121	 122	  30	   2	 591	   3	   1	   1	   8	  14	  80	  20	  30	 682	306107	306698	   0	 -80	
 122	 123	  80	   1	1007	   1	   1	   2	   8	  14	  80	  20	  30	 446	308427	309434	   0	 -70	
 123	 124	  30	   3	 786	   3	   2	   2	   8	  15	  80	  20	  30	 522	311240	312026	   0	 -70	
 124	 125	  80	   2	 624	   1	   1	   3	   8	  15	  80	  20	  30	 356	313666	314290	   0	 -80	
 125	 126	  30	   4	 690	   3	   2	   3	   8	  16	  80	  20	  30	 678	316240	316930	   0	 -80	
 126	 127	  80	   1	 445	   1	   1	   4	   8	  16	  80	  20	  30	 521	318733	319178	   0	 -70	
 127	 128	  30	   4	 413	   3	   2	   4	   8	  17	  80	  20	  30	 516	320973	321386	   0	 -70	
 128	 129	  20	   2	1200	   2	   1	   4	   9	  17	  80	  20	  30	 514	323186	324386	   0	 -80	
 129	 130	  80	   1	 645	   1	   1	   5	   9	  17	  80	  20	  30	 581	326252	326897	   0	 -70	
 130	 131	  30	   4	 499	   3	   2	   5	   9	  18	  80	  20	  30	 498	328679	329178	   0	 -70	
 131	 132	  80	   4	 458	   1	   2	   6	   9	  18	  80	  20	  30	 680	331159	331617	   0	 -70	
 132	 133	  30	   3	 749	   3	   2	   6	   9	  19	  80	  20	  30	 596	333492	334241	   0	 -70	
 133	 134	  80	   1	 453	   1	   1	   7	   9	  19	  80	  20	  30	 532	336052	336505	   0	 -60	
 134	 135	  20	   4	1160	   2	   2	   7	  10	  19	  80	  20	  30	 438	338225	339385	   0	 -60	
 135	 136	  80	   1	 594	   1	   1	   8	  10	  19	  80	  20	  30	 327	340999	341593	   0	 -50	
 136	 137	  20	   3	1237	   2	   2	   8	  11	  19	  80	  20	  30	 616	343492	344729	   0	 -50	
 137	 138	  80	   1	 725	   1	   1	   9	  11	  19	  80	  20	  30	 601	346612	347337	   0	 -40	
 138	 139	  20	   2	 723	   2	   1	   9	  12	  19	  80	  20	  30	 381	348998	349721	   0	 -50	
 139	 140	  30	   4	 638	   3	   2	   9	  12	  20	  80	  20	  30	 329	351331	351969	   0	 -50	
 140	 141	  80	   1	 502	   1	   1	  10	  12	  20	  80	  20	  30	 601	353851	354353	   0	 -40	
