Version: 1	Number of symbols: 3	Pictures exchange: true	Response Deadline: 2000
Trial_No	Virt_Trial_No	Prob_Shown	Feedback	RT	Stimulus_No	Resp	SymbolA_Stage	SymbolB_Stage	SymbolC_Stage	Prob_A	Prob_B	Prob_C	Jitter	StimOnset	RespOnset	Symbol_Changes	Bonus_sum
   1	   1	  30	   4	 703	   1	   2	   1	   0	   0	  30	  70	  50	 590	1749	2452	   0	   0	
   2	   2	  50	   4	 820	   3	   2	   1	   0	   1	  30	  70	  50	 689	4448	5268	   0	   0	
   3	   3	  30	   4	 550	   1	   2	   2	   0	   1	  30	  70	  50	 639	7214	7764	   0	   0	
   4	   4	  50	   3	 573	   3	   2	   2	   0	   2	  30	  70	  50	 386	9463	10036	   0	   0	
   5	   5	  70	   1	 690	   2	   1	   2	   1	   2	  30	  70	  50	 413	11762	12452	   0	  10	
   6	   6	  30	   4	 628	   1	   2	   3	   1	   2	  30	  70	  50	 358	14112	14740	   0	  10	
   7	   7	  50	   4	 560	   3	   2	   3	   1	   3	  30	  70	  50	 604	16644	17204	   0	  10	
   8	   8	  70	   1	 679	   2	   1	   3	   2	   3	  30	  70	  50	 391	18893	19572	   0	  20	
   9	   9	  50	   4	 606	   3	   2	   3	   2	   4	  30	  70	  50	 667	21542	22148	   0	  20	
  10	  10	  30	   3	 502	   1	   2	   4	   2	   4	  30	  70	  50	 309	23758	24260	   0	  20	
  11	  11	  50	   3	 439	   3	   2	   4	   2	   5	  30	  70	  50	 564	26157	26596	   0	  20	
  12	  12	  70	   1	 427	   2	   1	   4	   3	   5	  30	  70	  50	 579	28473	28900	   0	  30	
  13	  13	  50	   4	 527	   3	   2	   4	   3	   6	  30	  70	  50	 570	30773	31300	   0	  30	
  14	  14	  70	   2	 637	   2	   1	   4	   4	   6	  30	  70	  50	 621	33222	33859	   0	  20	
  15	  15	  50	   3	 644	   3	   2	   4	   4	   7	  30	  70	  50	 305	35471	36115	   0	  20	
  16	  16	  30	   3	 466	   1	   2	   5	   4	   7	  30	  70	  50	 529	37937	38403	   0	  20	
  17	  17	  70	   2	 547	   2	   1	   5	   5	   7	  30	  70	  50	 618	40336	40883	   0	  10	
  18	  18	  50	   3	 467	   3	   2	   5	   5	   8	  30	  70	  50	 550	42752	43219	   0	  10	
  19	  19	  70	   1	 669	   2	   1	   5	   6	   8	  30	  70	  50	 397	44918	45587	   0	  20	
  20	  20	  30	   4	 476	   1	   2	   6	   6	   8	  30	  70	  50	 492	47383	47859	   0	  20	
  21	  21	  50	   4	 534	   3	   2	   6	   6	   9	  30	  70	  50	 353	49533	50067	   0	  20	
  22	  22	  30	   4	 514	   1	   2	   7	   6	   9	  30	  70	  50	 671	52049	52563	   0	  20	
  23	  23	  50	   3	 423	   3	   2	   7	   6	  10	  30	  70	  50	 474	54348	54771	   0	  20	
  24	  24	  30	   4	 530	   1	   2	   8	   6	  10	  30	  70	  50	 424	56497	57027	   0	  20	
  25	  25	  70	   1	 579	   2	   1	   8	   7	  10	  30	  70	  50	 539	58880	59459	   0	  30	
  26	  26	  50	   3	 582	   3	   2	   8	   7	  11	  30	  70	  50	 450	61229	61811	   0	  30	
  27	  27	  30	   4	 457	   1	   2	   9	   7	  11	  30	  70	  50	 463	63578	64035	   0	  30	
  28	  28	  50	   4	 681	   3	   2	   9	   7	  12	  30	  70	  50	 650	65994	66675	   0	  30	
  29	  29	  70	   1	 525	   2	   1	   9	   8	  12	  30	  70	  50	 315	68310	68835	   0	  40	
  30	  30	  50	   1	 474	   3	   1	   9	   8	  13	  30	  70	  50	 671	70809	71283	   0	  50	
  31	  31	  70	   1	 585	   2	   1	   9	   9	  13	  30	  70	  50	 650	73258	73843	   0	  60	
  32	  32	  50	   3	 963	   3	   2	   9	   9	  14	  30	  70	  50	 669	75824	76787	   0	  60	
  33	  33	  30	   3	 636	   1	   2	  10	   9	  14	  30	  70	  50	 333	78439	79075	   0	  60	
  34	  34	  70	   2	 503	   2	   1	  10	  10	  14	  30	  70	  50	 585	80972	81475	   0	  50	
  35	  35	  30	   4	 632	   1	   2	  11	  10	  14	  30	  70	  50	 591	83371	84003	   0	  50	
  36	  36	  70	   1	 571	   2	   1	  11	  11	  14	  30	  70	  50	 395	85704	86275	   0	  60	
  37	  37	  50	   4	 616	   3	   2	  11	  11	  15	  30	  70	  50	 623	88203	88819	   0	  60	
  38	  38	  30	   3	 432	   1	   2	  12	  11	  15	  30	  70	  50	 312	90435	90867	   0	  60	
  39	  39	  70	   2	 617	   2	   1	  12	  12	  15	  30	  70	  50	 433	92618	93235	   0	  50	
  40	  40	  30	   4	 534	   1	   2	  13	  12	  15	  30	  70	  50	 555	95100	95634	   0	  50	
  41	  41	  50	   3	 669	   3	   2	  13	  12	  16	  30	  70	  50	 378	97333	98002	   0	  50	
  42	  42	  70	   1	 393	   2	   1	  13	  13	  16	  30	  70	  50	 547	99849	100242	   0	  60	
  43	  43	  30	   4	 465	   1	   2	  14	  13	  16	  30	  70	  50	 543	102081	102546	   0	  60	
  44	  44	  70	   1	 592	   2	   1	  14	  14	  16	  30	  70	  50	 649	104514	105106	   0	  70	
  45	  45	  50	   2	 459	   3	   1	  14	  14	  17	  30	  70	  50	 659	107063	107522	   0	  60	
  46	  46	  30	   4	 456	   1	   2	  15	  14	  17	  30	  70	  50	 347	109162	109618	   0	  60	
  47	  47	  70	   1	 506	   2	   1	  15	  15	  17	  30	  70	  50	 610	111528	112034	   0	  70	
  48	  48	  30	   3	 503	   1	   2	  16	  15	  17	  30	  70	  50	 695	114027	114530	   0	  70	
  49	  49	  70	   2	 710	   2	   1	  16	  16	  17	  30	  70	  50	 636	116476	117186	   0	  60	
  50	  50	  30	   4	 545	   1	   2	  17	  16	  17	  30	  70	  50	 537	119025	119570	   0	  60	
  51	  51	  70	   1	 547	   2	   1	  17	  17	  17	  30	  70	  50	 489	121375	121922	   0	  70	
  52	  52	  30	   4	 544	   1	   2	  18	  17	  17	  30	  70	  50	 651	123890	124434	   0	  70	
  53	  53	  70	   1	 527	   2	   1	  18	  18	  17	  30	  70	  50	 597	126323	126850	   0	  80	
  54	  54	  30	   3	 458	   1	   2	  19	  18	  17	  30	  70	  50	 303	128456	128914	   0	  80	
  55	  55	  70	   2	 527	   2	   1	  19	  19	  17	  30	  70	  50	 562	130771	131298	   0	  70	
  56	  56	  50	   4	 614	   3	   2	  19	  19	  18	  30	  70	  50	 401	133004	133618	   0	  70	
  57	  57	  30	   4	 522	   1	   2	  20	  19	  18	  30	  70	  50	 385	135320	135842	   0	  70	
  58	  58	  70	   1	 490	   2	   1	  20	  20	  18	  30	  70	  50	 584	137736	138226	   0	  80	
  59	  59	  50	   3	 667	   3	   2	  20	  20	  19	  30	  70	  50	 610	140135	140802	   0	  80	
  60	  60	  30	   4	 394	   1	   2	  21	  20	  19	  30	  70	  50	 470	142584	142978	   0	  80	
  61	  61	  50	   4	 715	   3	   2	  21	  20	  20	  30	  70	  50	 680	144967	145682	   0	  80	
